0000716456|3685
0001007846|3678
0003467828|3667
0000028316|3656
0000064418|3648
0000058243|3642
0000031469|3634
72-1505298|3627
0000068565|3622
0000027476|3615
0000700709|3600
0000004735|3583
0000007544|3577
77-0717225|3574
0000021717|3573
0000004365|3572
0000197478|3571
0000028489|3569
0000057777|3563
0000708186|3556
5222209998|3554
59-1515932|3534
0000001682|3534
16-1566654|3533
1100900005|3529
0000019629|3526
0000761806|3522
0000592448|3519
0003150447|3518
31-1076317|3506
0000700257|3506
0000013790|3498
0000800657|3492
0000001999|3483
84-0927358|3476
0000700670|3472
84-1496821|3453
0000009179|3434
54-1773964|3389
11-3073502|3378
75-2791828|3352
46-3537400|3345
0000656377|3339
0000068645|3328
26-0707492|3327
47-0873092|3308
0000068095|3300
0000015219|3297
0000068187|3293
35-2195549|3280
0000066492|3279
76-0578435|3272
0000068671|3260
63-1113916|3253
26-0084919|3246
83-0345906|3239
75-2674544|3238
35-1985128|3237
93-1248952|3230
0000456045|3215
0000024891|3202
3000809992|3198
46-2888046|3198
22-3157857|3189
88-0209429|3176
7280100005|3172
0000024382|3167
0000413208|3163
0000024362|3158
0000001367|3155
0000024224|3152
54-1822464|3143
0000029209|3111
0000057776|3109
7667200009|3099
0000706707|3097
61-1645461|3095
54-1872422|3086
14-1886719|3077
0000012854|3068
41-1726353|3063
0000068448|3027
26-3943038|3008
0000014650|3008
0000959395|2987
0000032773|2970
2140700008|2964
01-0940996|2959
20-2715422|2957
1768800000|2944
0000025103|2942
0000703536|2938
72-0484657|2933
26-1717830|2910
1222400008|2907
26-3874984|2905
0000066848|2898
0000667757|2885
0000878898|2880
0000510871|2871
0000062745|2850
0000057870|2848
41-2181683|2846
0002915461|2831
26-3780954|2822
1461700004|2808
0000066357|2798
0000005766|2796
61-1392032|2795
0000035570|2788
0000006694|2786
20-5238443|2783
0000020214|2778
58-2059073|2769
54-1870627|2764
58-2419109|2749
0000057033|2744
0000067664|2736
02-0793125|2735
81-3798202|2721
94-3169132|2721
63-1246790|2711
04-2876549|2704
22-2894356|2696
0000009963|2694
0003212149|2693
0000707635|2687
90-0790926|2680
76-0454396|2673
0000000803|2657
0000057614|2643
46-1728831|2641
0000712504|2632
0000066328|2631
0000007468|2629
7734800004|2607
13-4362989|2606
0000018297|2589
1461400001|2587
02-0594137|2580
11-3714032|2579
95-4671903|2571
0000016191|2570
7015500006|2567
1146500007|2567
0000014807|2562
7776600008|2559
06-1484285|2550
0000229801|2546
0000003238|2542
33-0397503|2534
0000024003|2527
22-3665409|2525
0000216922|2522
0000708028|2522
1821100000|2521
0000003025|2501
7568300002|2491
7275700004|2490
33-0750812|2487
0000062969|2483
0000060058|2479
34-1719615|2476
1519700008|2469
0000035385|2467
33-0962918|2466
0000024524|2465
0000068536|2398
0000682563|2392
57-1016947|2384
0000010634|2368
38-3358941|2367
0000057633|2367
0000010146|2350
0000024563|2339
0000001678|2317
0000704192|2315
31-1690008|2310
0000595869|2301
92-0164378|2300
0000266271|2298
85-0260899|2297
20-5439763|2285
11-3198028|2281
0000773247|2277
26-0362771|2262
0000004742|2258
0000019899|2256
43-1901144|2248
38-3365241|2235
0000014838|2227
46-4200240|2217
0000395238|2215
0000068601|2206
20-2409656|2205
0000004360|2202
0000030810|2202
